ID,Name,Designator,Footprint,Quantity
1,PARTICLE ARGON,U1,PARTICLE ARGON,1
2,ADAFRUIT 4-DIGIT 7-SEGMENT DISPLAY WITH I2C BACKPACK,U2,7-SEGMENT BACKPACK,1
